Form type,Form description,Filing date,Reporting date,Highlights
10-Q,Quarterly report [Sections 13 or 15(d)],26/10/21,30/09/21,"1. Microsoft Cloud (formerly commercial cloud) revenue increased 36% to $20.7 billion.
2. Office Commercial products and cloud services revenue increased 18% driven by Office 365 Commercial growth of 23%.
3. Office Consumer products and cloud services revenue increased 10% and Microsoft 365 Consumer subscribers increased to 54.1 million.
4. LinkedIn revenue increased 42% driven by Marketing Solutions growth of 61%.
5. Dynamics products and cloud services revenue increased 31% driven by Dynamics 365 growth of 48%.
6. Server products and cloud services revenue increased 35% driven by Azure and other cloud services growth of 50%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 10%.
8. Windows Commercial products and cloud services revenue increased 12%.
9. Xbox content and services revenue increased 2%."
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]",29/07/21,30/06/21,"	
1. Commercial cloud revenue increased 34% to $69.1 billion.
2. Office Commercial products and cloud services revenue increased 13% driven by Office 365 Commercial growth of 22%.
3. Office Consumer products and cloud services revenue increased 10% and Microsoft 365 Consumer subscribers increased to 51.9 million.
4. LinkedIn revenue increased 27%.
5. Dynamics products and cloud services revenue increased 25% driven by Dynamics 365 growth of 43%.
6. Server products and cloud services revenue increased 27% driven by Azure growth of 50%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased slightly.
8. Windows Commercial products and cloud services revenue increased 14%.
9. Xbox content and services revenue increased 23%.
10. Search advertising revenue, excluding traffic acquisition costs, increased 13%.
11. Surface revenue increased 5%."
10-Q,Quarterly report [Sections 13 or 15(d)],27/04/21,31/03/21,"	
1. Commercial cloud revenue increased 33% to $17.7 billion.
2. Office Commercial products and cloud services revenue increased 14%, driven by Office 365 Commercial growth of 22%.
3. Office Consumer products and cloud services revenue increased 5%, and Microsoft 365 Consumer subscribers increased to 50.2 million.
4. LinkedIn revenue increased 25%.
5. Dynamics products and cloud services revenue increased 26%, driven by Dynamics 365 growth of 45%.
6. Server products and cloud services revenue increased 26%, driven by Azure growth of 50%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 10%.
8. Windows Commercial products and cloud services revenue increased 10%.
9. Xbox content and services revenue increased 34%."
10-Q,Quarterly report [Sections 13 or 15(d)],26/01/21,31/12/20,"	
1. Commercial cloud revenue increased 34% to $16.7 billion.
2. Office Commercial products and cloud services revenue increased 11%, driven by Office 365 Commercial growth of 21%.
3. Office Consumer products and cloud services revenue increased 7%, and Microsoft 365 Consumer subscribers increased to 47.5 million.
4. LinkedIn revenue increased 23%.
5. Dynamics products and cloud services revenue increased 21%, driven by Dynamics 365 growth of 39%.
6. Server products and cloud services revenue increased 26%, driven by Azure growth of 50%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 1%.
8. Windows Commercial products and cloud services revenue increased 10%.
9. Xbox content and services revenue increased 40%.
10. Surface revenue increased 3%."
10-Q,Quarterly report [Sections 13 or 15(d)],27/10/20,30/09/20,"1. Commercial cloud revenue increased 31% to $15.2 billion.
2. Office Commercial products and cloud services revenue increased 9%, driven by Office 365 Commercial growth of 21%.
3. Office Consumer products and cloud services revenue increased 13%, with continued growth in Microsoft 365 Consumer subscribers to 45.3 million.
4. LinkedIn revenue increased 16%.
5. Dynamics products and cloud services revenue increased 19%, driven by Dynamics 365 growth of 38%.
6. Server products and cloud services revenue increased 22%, driven by Azure growth of 48%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 5%.
8. Windows Commercial products and cloud services revenue increased 13%.
9. Xbox content and services revenue increased 30%."
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]",30/07/20,30/06/20,"	
1. Commercial cloud revenue increased 36% to $51.7 billion.
2. Office Commercial products and cloud services revenue increased 12%, driven by Office 365 Commercial growth of 24%.
3. Office Consumer products and cloud services revenue increased 11%, with continued growth in Office 365 Consumer subscribers to 42.7 million.
4. LinkedIn revenue increased 20%.
5. Dynamics products and cloud services revenue increased 14%, driven by Dynamics 365 growth of 42%.
6. Server products and cloud services revenue increased 27%, driven by Azure growth of 56%.
7. Enterprise Services revenue increased 5%.
8. Windows Commercial products and cloud services revenue increased 18%.
9. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 9%.
10. Surface revenue increased 8%.
11. Xbox content and services revenue increased 11%.
12. Search advertising revenue, excluding traffic acquisition costs, was relatively unchanged."
10-Q,Quarterly report [Sections 13 or 15(d)],29/04/20,31/03/20,"1. Commercial cloud revenue increased 39% to $13.3 billion.
2. Office Commercial revenue increased 13%, driven by Office 365 Commercial growth of 25%.
3. Office Consumer revenue increased 15%, with continued growth in Office 365 Consumer subscribers to 39.6 million.
4. LinkedIn revenue increased 21%.
5. Dynamics revenue increased 17%, driven by Dynamics 365 growth of 47%.
6. Server products and cloud services revenue increased 30%, driven by Azure growth of 59%.
7. Enterprise Services revenue increased 6%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue was relatively unchanged.
9. Windows Commercial revenue increased 17%.
10. Search advertising revenue, excluding traffic acquisition costs, increased 1%.
11. Xbox content and services revenue increased 2%.
12. Surface revenue increased 1%."
10-Q,Quarterly report [Sections 13 or 15(d)],29/01/20,31/12/19,"	
1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 39% to $12.5 billion.
2. Office Commercial revenue increased 16%, driven by Office 365 Commercial growth of 27%.
3. Office Consumer revenue increased 19%, and Office 365 Consumer subscribers increased to 37.2 million.
4. LinkedIn revenue increased 24%.
5. Dynamics revenue increased 12%, driven by Dynamics 365 growth of 42%.
6. Server products and cloud services revenue increased 30%, driven by Azure growth of 62%.
7. Enterprise Services revenue increased 6%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 18%.
9. Windows Commercial revenue increased 25%.
10. Search advertising revenue, excluding traffic acquisition costs, increased 6%.
11. Microsoft Surface revenue increased 6%.
12. Xbox content and services revenue decreased 11%."
10-Q,Quarterly report [Sections 13 or 15(d)],23/10/19,30/09/19,"	
1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 36% to $11.6 billion.
2. Office Commercial revenue increased 13%, driven by Office 365 Commercial growth of 25%.
3. Office Consumer revenue increased 5%, and Office 365 Consumer subscribers increased to 35.6 million.
4. LinkedIn revenue increased 25%.
5. Dynamics revenue increased 14%, driven by Dynamics 365 growth of 41%.
6. Server products and cloud services revenue increased 30%, driven by Azure growth of 59%.
7. Enterprise Services revenue increased 7%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 9%.
9.  Windows Commercial revenue increased 26%. 
10. Search advertising revenue, excluding traffic acquisition costs, increased 11%.
11. Xbox content and services revenue was relatively unchanged.
12. Microsoft Surface revenue decreased 4%."
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]",01/08/19,30/06/19,"	
1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 43% to $38.1 billion.
2. Office Commercial revenue increased 13%, driven by Office 365 Commercial growth of 33%.
3. Office Consumer revenue increased 7%, and Office 365 Consumer subscribers increased to 34.8 million.
4. LinkedIn revenue increased 28%, with record levels of engagement highlighted by LinkedIn sessions growth of 27%.
5. Dynamics revenue increased 15%, driven by Dynamics 365 growth of 47%.
6. Server products and cloud services revenue, including GitHub, increased 25%, driven by Azure growth of 72%.
7. Enterprise Services revenue increased 5%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 4%.
9. Windows Commercial revenue increased 14%.
10. Microsoft Surface revenue increased 23%.
11. Gaming revenue increased 10%, driven by Xbox software and services growth of 19%.
12. Search advertising revenue, excluding traffic acquisition costs, increased 13%."
10-Q,Quarterly report [Sections 13 or 15(d)],24/04/19,31/03/19,"1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 41% to $9.6 billion.
2. Office Commercial revenue increased 12%, driven by Office 365 Commercial growth of 30%.
3. Office Consumer revenue increased 8% and Office 365 Consumer subscribers increased to 34.2 million.
4. LinkedIn revenue increased 27%, with record levels of engagement highlighted by LinkedIn sessions growth of 24%.
5. Dynamics revenue increased 13%, driven by Dynamics 365 growth of 43%.  
6. Server products and cloud services revenue, including GitHub, increased 27%, driven by Azure growth of 73%.  
7. Enterprise Services revenue increased 4%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 9%.
9. Windows Commercial revenue increased 18%.
10. Microsoft Surface revenue increased 21%.
11. Gaming revenue increased 5%, driven by Xbox software and services growth of 12%."
10-Q,Quarterly report [Sections 13 or 15(d)],30/01/19,31/12/18,"	
1. Commercial cloud revenue, which includes Microsoft Office 365 commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 48% to $9.0 billion.
2. Office Commercial revenue increased 11%, driven by Office 365 commercial growth of 34%.
3. Office Consumer revenue increased 1%, with continued growth in Office 365 consumer subscribers to 33.3 million.
4. LinkedIn revenue increased 29%, with strong engagement highlighted by LinkedIn sessions growth of 30%.
5. Dynamics revenue increased 17%, driven by Dynamics 365 growth of 51%.  
6. Server products and cloud services revenue, including GitHub, increased 24%, driven by Azure growth of 76%.  
7. Enterprise Services revenue increased 6%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 5%.
9. Windows Commercial revenue increased 13%.
10. Microsoft Surface revenue increased 39%.
11. Gaming revenue increased 8%, with Xbox software and services growth of 31%.  
12. Search advertising revenue, excluding traffic acquisition costs, increased 14%."
