Month-Year,HEADLINES,SEC filings-Highlights,Open,Close
2019-06,,"1. Revenue for the second quarter of fiscal year 2020 decreased 17% year over year and increased 16% sequentially.
2. Gaming revenue was $1.31 billion, down 27% from a year ago and up 24% sequentially.
3. Professional Visualization revenue was $291 million, up 4% from a year earlier and up 9% sequentially. 
4. Data Center revenue was $655 million, down 14% from a year ago and up 3% sequentially. 
5. Automotive revenue of $209 million was up 30% from a year earlier and up 26% sequentially. 
6. OEM and Other revenue was $111 million, down 4% from a year ago and up 12% sequentially.",3.39775,4.10575
2019-07,,"1. GPU business revenue was $2.56 billion, down 8% from a year earlier and up 22% sequentially.
2. Gaming revenue was $1.66 billion, down 6% from a year ago and up 26% sequentially. 
3. Professional Visualization revenue was $324 million, up 6% from a year earlier and up 11% sequentially. 
4. Data Center revenue was $726 million, down 8% from a year ago and up 11% sequentially. 
5. Automotive revenue of $162 million was down 6% from a year earlier and down 22% sequentially. 
6. OEM and Other revenue was $143 million, down 3% from a year ago and up 29% sequentially. | ANNUAL 1. Revenue for the second quarter of fiscal year 2020 decreased 17% year over year and increased 16% sequentially.
2. Gaming revenue was $1.31 billion, down 27% from a year ago and up 24% sequentially.
3. Professional Visualization revenue was $291 million, up 4% from a year earlier and up 9% sequentially. 
4. Data Center revenue was $655 million, down 14% from a year ago and up 3% sequentially. 
5. Automotive revenue of $209 million was up 30% from a year earlier and up 26% sequentially. 
6. OEM and Other revenue was $111 million, down 4% from a year ago and up 12% sequentially.",4.31425,4.218
2019-08,,"1. GPU business revenue was $2.56 billion, down 8% from a year earlier and up 22% sequentially.
2. Gaming revenue was $1.66 billion, down 6% from a year ago and up 26% sequentially. 
3. Professional Visualization revenue was $324 million, up 6% from a year earlier and up 11% sequentially. 
4. Data Center revenue was $726 million, down 8% from a year ago and up 11% sequentially. 
5. Automotive revenue of $162 million was down 6% from a year earlier and down 22% sequentially. 
6. OEM and Other revenue was $143 million, down 3% from a year ago and up 29% sequentially. | ANNUAL 1. Revenue for the second quarter of fiscal year 2020 decreased 17% year over year and increased 16% sequentially.
2. Gaming revenue was $1.31 billion, down 27% from a year ago and up 24% sequentially.
3. Professional Visualization revenue was $291 million, up 4% from a year earlier and up 9% sequentially. 
4. Data Center revenue was $655 million, down 14% from a year ago and up 3% sequentially. 
5. Automotive revenue of $209 million was up 30% from a year earlier and up 26% sequentially. 
6. OEM and Other revenue was $111 million, down 4% from a year ago and up 12% sequentially.",4.2285,4.18775
2019-09,,"1. GPU business revenue was $2.56 billion, down 8% from a year earlier and up 22% sequentially.
2. Gaming revenue was $1.66 billion, down 6% from a year ago and up 26% sequentially. 
3. Professional Visualization revenue was $324 million, up 6% from a year earlier and up 11% sequentially. 
4. Data Center revenue was $726 million, down 8% from a year ago and up 11% sequentially. 
5. Automotive revenue of $162 million was down 6% from a year earlier and down 22% sequentially. 
6. OEM and Other revenue was $143 million, down 3% from a year ago and up 29% sequentially.",4.1145,4.35175
2019-10,,"1. Revenue for fiscal year 2020 was $10.92 billion, down 7% from a year earlier.
2. Data Center revenue was $2.98 billion, up 2% from a year ago, driven by vertical industry growth partially offset by lower hyperscale sales.
3. Automotive revenue was $700 million, up 9% from a year ago.
4. OEM and Other revenue was $505 million, down 34% from a year ago | ANNUAL 1. GPU business revenue was $2.56 billion, down 8% from a year earlier and up 22% sequentially.
2. Gaming revenue was $1.66 billion, down 6% from a year ago and up 26% sequentially. 
3. Professional Visualization revenue was $324 million, up 6% from a year earlier and up 11% sequentially. 
4. Data Center revenue was $726 million, down 8% from a year ago and up 11% sequentially. 
5. Automotive revenue of $162 million was down 6% from a year earlier and down 22% sequentially. 
6. OEM and Other revenue was $143 million, down 3% from a year ago and up 29% sequentially.",4.375,5.0255
2019-11,,"1. Revenue for fiscal year 2020 was $10.92 billion, down 7% from a year earlier.
2. Data Center revenue was $2.98 billion, up 2% from a year ago, driven by vertical industry growth partially offset by lower hyperscale sales.
3. Automotive revenue was $700 million, up 9% from a year ago.
4. OEM and Other revenue was $505 million, down 34% from a year ago | ANNUAL 1. GPU business revenue was $2.56 billion, down 8% from a year earlier and up 22% sequentially.
2. Gaming revenue was $1.66 billion, down 6% from a year ago and up 26% sequentially. 
3. Professional Visualization revenue was $324 million, up 6% from a year earlier and up 11% sequentially. 
4. Data Center revenue was $726 million, down 8% from a year ago and up 11% sequentially. 
5. Automotive revenue of $162 million was down 6% from a year earlier and down 22% sequentially. 
6. OEM and Other revenue was $143 million, down 3% from a year ago and up 29% sequentially.",4.99,5.4185
2019-12,,"1. Revenue for fiscal year 2020 was $10.92 billion, down 7% from a year earlier.
2. Data Center revenue was $2.98 billion, up 2% from a year ago, driven by vertical industry growth partially offset by lower hyperscale sales.
3. Automotive revenue was $700 million, up 9% from a year ago.
4. OEM and Other revenue was $505 million, down 34% from a year ago",5.4115,5.8825
2020-01,,"1. Revenue for the first quarter was $3.08 billion, up 39% from a year earlier and down 1% sequentially.
2. Gaming revenue for the first quarter was $1.34 billion, up 27% from a year ago and down 10% sequentially.
3. Professional Visualization revenue for the first quarter was $307 million, up 15% from a year earlier and down 7% sequentially.
4. Data Center revenue for the first quarter was $1.14 billion, up 80% from a year ago and up 18% sequentially.
5. Automotive revenue was $155 million, down 7% from a year earlier and down 5% sequentially.
6. OEM and Other revenue for the first quarter was $138 million, up 39% from a year ago and down 9% sequentially. | ANNUAL 1. Revenue for fiscal year 2020 was $10.92 billion, down 7% from a year earlier.
2. Data Center revenue was $2.98 billion, up 2% from a year ago, driven by vertical industry growth partially offset by lower hyperscale sales.
3. Automotive revenue was $700 million, up 9% from a year ago.
4. OEM and Other revenue was $505 million, down 34% from a year ago",5.96875,5.91075
2020-02,,"1. Revenue for the first quarter was $3.08 billion, up 39% from a year earlier and down 1% sequentially.
2. Gaming revenue for the first quarter was $1.34 billion, up 27% from a year ago and down 10% sequentially.
3. Professional Visualization revenue for the first quarter was $307 million, up 15% from a year earlier and down 7% sequentially.
4. Data Center revenue for the first quarter was $1.14 billion, up 80% from a year ago and up 18% sequentially.
5. Automotive revenue was $155 million, down 7% from a year earlier and down 5% sequentially.
6. OEM and Other revenue for the first quarter was $138 million, up 39% from a year ago and down 9% sequentially. | ANNUAL 1. Revenue for fiscal year 2020 was $10.92 billion, down 7% from a year earlier.
2. Data Center revenue was $2.98 billion, up 2% from a year ago, driven by vertical industry growth partially offset by lower hyperscale sales.
3. Automotive revenue was $700 million, up 9% from a year ago.
4. OEM and Other revenue was $505 million, down 34% from a year ago",5.8925,6.75175
2020-03,,"1. Revenue for the first quarter was $3.08 billion, up 39% from a year earlier and down 1% sequentially.
2. Gaming revenue for the first quarter was $1.34 billion, up 27% from a year ago and down 10% sequentially.
3. Professional Visualization revenue for the first quarter was $307 million, up 15% from a year earlier and down 7% sequentially.
4. Data Center revenue for the first quarter was $1.14 billion, up 80% from a year ago and up 18% sequentially.
5. Automotive revenue was $155 million, down 7% from a year earlier and down 5% sequentially.
6. OEM and Other revenue for the first quarter was $138 million, up 39% from a year ago and down 9% sequentially.",6.9225,6.59
2020-04,,"1. Revenue for the third quarter of fiscal year 2021 was $4.73 billion, up 57% from a year earlier and up 22% sequentially.
2. Gaming revenue was $2.27 billion, up 37% both from a year ago and sequentially. 
3. Professional Visualization revenue was $236 million, down 27% from a year earlier and up 16% sequentially.
4. Data Center revenue was $1.90 billion, up 162% from a year ago.
5. Automotive revenue was $125 million, down 23% from a year earlier and up 13% sequentially. 
6. OEM and Other revenue was $194 million, up 36% from a year ago and up 33% sequentially. | ANNUAL 1. Revenue for the first quarter was $3.08 billion, up 39% from a year earlier and down 1% sequentially.
2. Gaming revenue for the first quarter was $1.34 billion, up 27% from a year ago and down 10% sequentially.
3. Professional Visualization revenue for the first quarter was $307 million, up 15% from a year earlier and down 7% sequentially.
4. Data Center revenue for the first quarter was $1.14 billion, up 80% from a year ago and up 18% sequentially.
5. Automotive revenue was $155 million, down 7% from a year earlier and down 5% sequentially.
6. OEM and Other revenue for the first quarter was $138 million, up 39% from a year ago and down 9% sequentially.",6.39125,7.307
2020-05,,"1. Revenue for the third quarter of fiscal year 2021 was $4.73 billion, up 57% from a year earlier and up 22% sequentially.
2. Gaming revenue was $2.27 billion, up 37% both from a year ago and sequentially. 
3. Professional Visualization revenue was $236 million, down 27% from a year earlier and up 16% sequentially.
4. Data Center revenue was $1.90 billion, up 162% from a year ago.
5. Automotive revenue was $125 million, down 23% from a year earlier and up 13% sequentially. 
6. OEM and Other revenue was $194 million, up 36% from a year ago and up 33% sequentially. | ANNUAL 1. Revenue for the first quarter was $3.08 billion, up 39% from a year earlier and down 1% sequentially.
2. Gaming revenue for the first quarter was $1.34 billion, up 27% from a year ago and down 10% sequentially.
3. Professional Visualization revenue for the first quarter was $307 million, up 15% from a year earlier and down 7% sequentially.
4. Data Center revenue for the first quarter was $1.14 billion, up 80% from a year ago and up 18% sequentially.
5. Automotive revenue was $155 million, down 7% from a year earlier and down 5% sequentially.
6. OEM and Other revenue for the first quarter was $138 million, up 39% from a year ago and down 9% sequentially.",7.10875,8.8755
2020-06,,"1. Revenue for the third quarter of fiscal year 2021 was $4.73 billion, up 57% from a year earlier and up 22% sequentially.
2. Gaming revenue was $2.27 billion, up 37% both from a year ago and sequentially. 
3. Professional Visualization revenue was $236 million, down 27% from a year earlier and up 16% sequentially.
4. Data Center revenue was $1.90 billion, up 162% from a year ago.
5. Automotive revenue was $125 million, down 23% from a year earlier and up 13% sequentially. 
6. OEM and Other revenue was $194 million, up 36% from a year ago and up 33% sequentially.",8.83325,9.49775
2020-07,,"1. Revenue for the third quarter of fiscal year 2021 was $4.73 billion, up 57% from a year earlier and up 22% sequentially.
2. Gaming revenue was $2.27 billion, up 37% both from a year ago and sequentially. 
3. Professional Visualization revenue was $236 million, down 27% from a year earlier and up 16% sequentially.
4. Data Center revenue was $1.90 billion, up 162% from a year ago.
5. Automotive revenue was $125 million, down 23% from a year earlier and up 13% sequentially. 
6. OEM and Other revenue was $194 million, up 36% from a year ago and up 33% sequentially.",9.52075,10.61475
2020-08,,"1. Revenue for the third quarter of fiscal year 2021 was $4.73 billion, up 57% from a year earlier and up 22% sequentially.
2. Gaming revenue was $2.27 billion, up 37% both from a year ago and sequentially. 
3. Professional Visualization revenue was $236 million, down 27% from a year earlier and up 16% sequentially.
4. Data Center revenue was $1.90 billion, up 162% from a year ago.
5. Automotive revenue was $125 million, down 23% from a year earlier and up 13% sequentially. 
6. OEM and Other revenue was $194 million, up 36% from a year ago and up 33% sequentially.",10.7325,13.3745
2020-09,SoftBank Said to Be Near Deal to Sell British Chip Designer Arm | Nvidia Buys Arm From SoftBank for $40 Billion,"1. Revenue for the third quarter of fiscal year 2021 was $4.73 billion, up 57% from a year earlier and up 22% sequentially.
2. Gaming revenue was $2.27 billion, up 37% both from a year ago and sequentially. 
3. Professional Visualization revenue was $236 million, down 27% from a year earlier and up 16% sequentially.
4. Data Center revenue was $1.90 billion, up 162% from a year ago.
5. Automotive revenue was $125 million, down 23% from a year earlier and up 13% sequentially. 
6. OEM and Other revenue was $194 million, up 36% from a year ago and up 33% sequentially.",13.48,13.5305
2020-10,,"1. Data Center revenue was up 124% from a year ago. 
2. Automotive revenue was down 23% from a year earlier.
3. Gross margin for fiscal year 2021 was up 30 basis points from a year ago.
4. Operating expenses for fiscal year 2021 were $5.86 billion, up 50% from a year ago.
5. Income from operations for fiscal year 2021 was $4.53 billion, up 59% from a year earlier. | ANNUAL 1. Revenue for the third quarter of fiscal year 2021 was $4.73 billion, up 57% from a year earlier and up 22% sequentially.
2. Gaming revenue was $2.27 billion, up 37% both from a year ago and sequentially. 
3. Professional Visualization revenue was $236 million, down 27% from a year earlier and up 16% sequentially.
4. Data Center revenue was $1.90 billion, up 162% from a year ago.
5. Automotive revenue was $125 million, down 23% from a year earlier and up 13% sequentially. 
6. OEM and Other revenue was $194 million, up 36% from a year ago and up 33% sequentially.",13.758,12.534
2020-11,,"1. Data Center revenue was up 124% from a year ago. 
2. Automotive revenue was down 23% from a year earlier.
3. Gross margin for fiscal year 2021 was up 30 basis points from a year ago.
4. Operating expenses for fiscal year 2021 were $5.86 billion, up 50% from a year ago.
5. Income from operations for fiscal year 2021 was $4.53 billion, up 59% from a year earlier. | ANNUAL 1. Revenue for the third quarter of fiscal year 2021 was $4.73 billion, up 57% from a year earlier and up 22% sequentially.
2. Gaming revenue was $2.27 billion, up 37% both from a year ago and sequentially. 
3. Professional Visualization revenue was $236 million, down 27% from a year earlier and up 16% sequentially.
4. Data Center revenue was $1.90 billion, up 162% from a year ago.
5. Automotive revenue was $125 million, down 23% from a year earlier and up 13% sequentially. 
6. OEM and Other revenue was $194 million, up 36% from a year ago and up 33% sequentially.",12.65775,13.4015
2020-12,,"1. Data Center revenue was up 124% from a year ago. 
2. Automotive revenue was down 23% from a year earlier.
3. Gross margin for fiscal year 2021 was up 30 basis points from a year ago.
4. Operating expenses for fiscal year 2021 were $5.86 billion, up 50% from a year ago.
5. Income from operations for fiscal year 2021 was $4.53 billion, up 59% from a year earlier.",13.49225,13.055
2021-01,,"1. Revenue for the first quarter of fiscal year 2022 was $5.66 billion, up 84% from a year earlier.
2. Revenue was up 13% sequentially with growth in all market platforms.
3. Gaming revenue was up 106% from a year ago and up 11% sequentially.
4. Data Center revenue was up 79% from a year ago and up 8% sequentially. 
5. Professional Visualization revenue was up 21% from both a year earlier and sequentially. 
6. Automotive revenue was down 1% from a year earlier and up 6% sequentially.
7. OEM and Other revenue was up 137% from a year ago and up 114% sequentially | ANNUAL 1. Data Center revenue was up 124% from a year ago. 
2. Automotive revenue was down 23% from a year earlier.
3. Gross margin for fiscal year 2021 was up 30 basis points from a year ago.
4. Operating expenses for fiscal year 2021 were $5.86 billion, up 50% from a year ago.
5. Income from operations for fiscal year 2021 was $4.53 billion, up 59% from a year earlier.",13.10425,12.98975
2021-02,,"1. Revenue for the first quarter of fiscal year 2022 was $5.66 billion, up 84% from a year earlier.
2. Revenue was up 13% sequentially with growth in all market platforms.
3. Gaming revenue was up 106% from a year ago and up 11% sequentially.
4. Data Center revenue was up 79% from a year ago and up 8% sequentially. 
5. Professional Visualization revenue was up 21% from both a year earlier and sequentially. 
6. Automotive revenue was down 1% from a year earlier and up 6% sequentially.
7. OEM and Other revenue was up 137% from a year ago and up 114% sequentially | ANNUAL 1. Data Center revenue was up 124% from a year ago. 
2. Automotive revenue was down 23% from a year earlier.
3. Gross margin for fiscal year 2021 was up 30 basis points from a year ago.
4. Operating expenses for fiscal year 2021 were $5.86 billion, up 50% from a year ago.
5. Income from operations for fiscal year 2021 was $4.53 billion, up 59% from a year earlier.",13.05325,13.7145
2021-03,,"1. Revenue for the first quarter of fiscal year 2022 was $5.66 billion, up 84% from a year earlier.
2. Revenue was up 13% sequentially with growth in all market platforms.
3. Gaming revenue was up 106% from a year ago and up 11% sequentially.
4. Data Center revenue was up 79% from a year ago and up 8% sequentially. 
5. Professional Visualization revenue was up 21% from both a year earlier and sequentially. 
6. Automotive revenue was down 1% from a year earlier and up 6% sequentially.
7. OEM and Other revenue was up 137% from a year ago and up 114% sequentially",13.875,13.34825
2021-04,,"1. Data Center revenue was up 35% from a year ago and up 16% sequentially. 
2. Professional Visualization revenue was up 156% from a year earlier and up 40% sequentially.
3. Automotive revenue was up 37% from a year earlier and down 1% sequentially.
4. OEM and Other revenue was up 180% from a year ago and up 25% sequentially.
5. GAAP gross margin for the second quarter was up 600 basis points from a year earlier.
6. Operating expenses for the second quarter were up 9% from a year earlier and up 6% sequentially. 
7. Income from operations was $2.44 billion, up 275% from a year earlier and up 25% sequentially. | ANNUAL 1. Revenue for the first quarter of fiscal year 2022 was $5.66 billion, up 84% from a year earlier.
2. Revenue was up 13% sequentially with growth in all market platforms.
3. Gaming revenue was up 106% from a year ago and up 11% sequentially.
4. Data Center revenue was up 79% from a year ago and up 8% sequentially. 
5. Professional Visualization revenue was up 21% from both a year earlier and sequentially. 
6. Automotive revenue was down 1% from a year earlier and up 6% sequentially.
7. OEM and Other revenue was up 137% from a year ago and up 114% sequentially",13.57225,15.0095
2021-05,,"1. Data Center revenue was up 35% from a year ago and up 16% sequentially. 
2. Professional Visualization revenue was up 156% from a year earlier and up 40% sequentially.
3. Automotive revenue was up 37% from a year earlier and down 1% sequentially.
4. OEM and Other revenue was up 180% from a year ago and up 25% sequentially.
5. GAAP gross margin for the second quarter was up 600 basis points from a year earlier.
6. Operating expenses for the second quarter were up 9% from a year earlier and up 6% sequentially. 
7. Income from operations was $2.44 billion, up 275% from a year earlier and up 25% sequentially. | ANNUAL 1. Revenue for the first quarter of fiscal year 2022 was $5.66 billion, up 84% from a year earlier.
2. Revenue was up 13% sequentially with growth in all market platforms.
3. Gaming revenue was up 106% from a year ago and up 11% sequentially.
4. Data Center revenue was up 79% from a year ago and up 8% sequentially. 
5. Professional Visualization revenue was up 21% from both a year earlier and sequentially. 
6. Automotive revenue was down 1% from a year earlier and up 6% sequentially.
7. OEM and Other revenue was up 137% from a year ago and up 114% sequentially",15.125,16.244499
2021-06,,"1. Data Center revenue was up 35% from a year ago and up 16% sequentially. 
2. Professional Visualization revenue was up 156% from a year earlier and up 40% sequentially.
3. Automotive revenue was up 37% from a year earlier and down 1% sequentially.
4. OEM and Other revenue was up 180% from a year ago and up 25% sequentially.
5. GAAP gross margin for the second quarter was up 600 basis points from a year earlier.
6. Operating expenses for the second quarter were up 9% from a year earlier and up 6% sequentially. 
7. Income from operations was $2.44 billion, up 275% from a year earlier and up 25% sequentially.",16.27,20.002501
2021-07,,"1. Revenue for the third quarter of fiscal year 2022 was $7.10 billion, up 50% from a year earlier.
2. Gaming revenue was up 42% from a year ago and up 5% sequentially.
3. Data Center revenue was up 55% from a year ago and up 24% sequentially.
4. Professional Visualization revenue was up 144% from a year earlier and up 11% sequentially.
5. Automotive revenue was up 8% from a year earlier and down 11% sequentially.
6. OEM and Other revenue was up 21% from a year ago and down 43% sequentially. | ANNUAL 1. Data Center revenue was up 35% from a year ago and up 16% sequentially. 
2. Professional Visualization revenue was up 156% from a year earlier and up 40% sequentially.
3. Automotive revenue was up 37% from a year earlier and down 1% sequentially.
4. OEM and Other revenue was up 180% from a year ago and up 25% sequentially.
5. GAAP gross margin for the second quarter was up 600 basis points from a year earlier.
6. Operating expenses for the second quarter were up 9% from a year earlier and up 6% sequentially. 
7. Income from operations was $2.44 billion, up 275% from a year earlier and up 25% sequentially.",20.125,19.499001
2021-08,,"1. Revenue for the third quarter of fiscal year 2022 was $7.10 billion, up 50% from a year earlier.
2. Gaming revenue was up 42% from a year ago and up 5% sequentially.
3. Data Center revenue was up 55% from a year ago and up 24% sequentially.
4. Professional Visualization revenue was up 144% from a year earlier and up 11% sequentially.
5. Automotive revenue was up 8% from a year earlier and down 11% sequentially.
6. OEM and Other revenue was up 21% from a year ago and down 43% sequentially. | ANNUAL 1. Data Center revenue was up 35% from a year ago and up 16% sequentially. 
2. Professional Visualization revenue was up 156% from a year earlier and up 40% sequentially.
3. Automotive revenue was up 37% from a year earlier and down 1% sequentially.
4. OEM and Other revenue was up 180% from a year ago and up 25% sequentially.
5. GAAP gross margin for the second quarter was up 600 basis points from a year earlier.
6. Operating expenses for the second quarter were up 9% from a year earlier and up 6% sequentially. 
7. Income from operations was $2.44 billion, up 275% from a year earlier and up 25% sequentially.",19.700001,22.385
2021-09,,"1. Revenue for the third quarter of fiscal year 2022 was $7.10 billion, up 50% from a year earlier.
2. Gaming revenue was up 42% from a year ago and up 5% sequentially.
3. Data Center revenue was up 55% from a year ago and up 24% sequentially.
4. Professional Visualization revenue was up 144% from a year earlier and up 11% sequentially.
5. Automotive revenue was up 8% from a year earlier and down 11% sequentially.
6. OEM and Other revenue was up 21% from a year ago and down 43% sequentially.",22.485001,20.716
2021-10,,"1. Revenue for the third quarter of fiscal year 2022 was $7.10 billion, up 50% from a year earlier.
2. Gaming revenue was up 42% from a year ago and up 5% sequentially.
3. Data Center revenue was up 55% from a year ago and up 24% sequentially.
4. Professional Visualization revenue was up 144% from a year earlier and up 11% sequentially.
5. Automotive revenue was up 8% from a year earlier and down 11% sequentially.
6. OEM and Other revenue was up 21% from a year ago and down 43% sequentially.",20.75,25.566999
2021-11,,"1. Data Center revenue was up 58% from a year ago.
2. Professional Visualization revenue was up 100% from a year ago.
3. Automotive revenue was up 6% from a year ago.
4. OEM and Other revenue was up 84% from a year ago.
5. Gross margin for fiscal year 2022 was up 260 basis points from a year ago.
6. Operating expenses for fiscal year 2022 were up 27% from a year ago.
7. Income from operations was $10.04 billion, up 122% from a year ago. | ANNUAL 1. Revenue for the third quarter of fiscal year 2022 was $7.10 billion, up 50% from a year earlier.
2. Gaming revenue was up 42% from a year ago and up 5% sequentially.
3. Data Center revenue was up 55% from a year ago and up 24% sequentially.
4. Professional Visualization revenue was up 144% from a year earlier and up 11% sequentially.
5. Automotive revenue was up 8% from a year earlier and down 11% sequentially.
6. OEM and Other revenue was up 21% from a year ago and down 43% sequentially.",25.649,32.675999
2021-12,F.T.C. Sues to Stop Blockbuster Chip Deal Between Nvidia and Arm,"1. Data Center revenue was up 58% from a year ago.
2. Professional Visualization revenue was up 100% from a year ago.
3. Automotive revenue was up 6% from a year ago.
4. OEM and Other revenue was up 84% from a year ago.
5. Gross margin for fiscal year 2022 was up 260 basis points from a year ago.
6. Operating expenses for fiscal year 2022 were up 27% from a year ago.
7. Income from operations was $10.04 billion, up 122% from a year ago.",33.219002,29.410999
