Month-Year,HEADLINES,SEC filings-Highlights,Open,Close
2015-11,"Microsoft’s Stock Math: Fewer Shares, Pricier Shares | Microsoft Sheds Reputation as an Easy Mark for Hackers | Daily Report: Microsoft Finds Its Security Groove | A Reality Check for Microsoft’s HoloLens",,52.849998,54.349998
2015-12,Microsoft to Notify Users of Government Hackings,,54.41,55.48
2016-01,"Microsoft Faces New Scrutiny in China | Setting Up Tabs to Open Automatically in Microsoft Edge | Microsoft Acquires Minecraft App for Schools | Microsoft to Donate $1 Billion in Cloud Services to Nonprofits and Researchers | Microsoft Profit and Revenue Fall, but Cloud Computing Grows | Microsoft Plumbs Ocean’s Depths to Test Underwater Data Center",,54.32,55.09
2016-02,What Microsoft’s Xamarin Purchase Says About the Cloud Computing Fight,,54.880001,50.880001
2016-03,"Microsoft Opens Its Corporate Data Software to Linux | Microsoft to Close 2 Game Development Studios | Microsoft Created a Twitter Bot to Learn From Users. It Quickly Became a Racist Jerk. | Microsoft Trumpets Windows 10, and Pushes Into Sci-Fi Tech",,50.970001,55.23
2016-04,Microsoft Sues Justice Department to Protest Electronic Gag Order Statute | Microsoft Goes on Offensive Against Justice Department | Microsoft’s Cloud Business Falls Short of Investors’ Hopes | Microsoft and Google Agree to Drop Mutual Complaints | Microsoft Will Not Donate Money to Republicans’ Convention,,55.049999,49.869999
2016-05,"Nokia Phones May Find Life After Microsoft | Microsoft Awards First Grants to Help Expand Global Internet Access | Microsoft Cutting 1,850 Jobs in Smartphone Unit | Fixing Microsoft Office for Mac Update Errors",,50.0,53.0
2016-06,"Microsoft Finds Cancer Clues in Search Queries | Microsoft Buys LinkedIn for $26.2 Billion, Reasserting Its Muscle | Handful of Advisers Behind Microsoft’s Deal for LinkedIn | Microsoft and Apple Making Headlines | Microsoft’s Deal for LinkedIn Raises Red Flags | For Microsoft, LinkedIn Deal Could Be a $26.2 Billion Time Machine | Microsoft’s Biggest Deal | Microsoft Takes Aim at Sony With Cheaper Xbox, Virtual Reality and Cross-Platform Games | One Unspoken Reason Behind the Microsoft-LinkedIn Deal | Why Microsoft Likes LinkedIn | The First Big Company to Say It’s Serving the Legal Marijuana Trade? Microsoft. | Microsoft-LinkedIn Deal Ignites Twitter Speculation | Why LinkedIn Will Make You Hate Microsoft Word | Microsoft Makes a Marijuana Play | Farhad’s and Mike’s Week in Tech: That Business of Microsoft Buying LinkedIn",,52.439999,51.169998
2016-07,"Kevin Turner, Microsoft Executive, to Join Citadel Securities | Microsoft Wins Appeal on Overseas Data Searches | Microsoft Case Shows the Limits of a Data Privacy Law | Microsoft Earnings Are Up, Cushioned by Its Cloud Business | Finding the Right Microsoft Office",,51.130001,56.68
2016-08,"Finding Alternatives to Microsoft Excel | In Buying LinkedIn, Microsoft Might Pay Heed to Monster",,56.599998,57.459999
2016-09,Microsoft’s Challenge to Government Secrecy Wins Dozens of Supporters | Salesforce Is Said to Question Microsoft-LinkedIn Deal in Europe | Microsoft Reorganizes Its Research Efforts Around A.I.,,57.009998,57.599998
2016-10,"Microsoft Shares Hit a High With Promise of the Cloud’s Profit Margins | Daily Report: Microsoft, Ahead in the Cloud | Microsoft Unveils Its First Desktop PC | Farhad and Mike’s Week in Tech: Microsoft, Apple and Halloween!",,57.41,59.919998
2016-11,Microsoft Puts Slack in Cross Hairs With New Office Chat App | How LinkedIn Drove a Wedge Between Microsoft and Salesforce | Finding a Non-Mac Alternative to Microsoft | Parallels Between Europe’s Antitrust Cases Against Google and Microsoft | Microsoft Spends Big to Build a Computer Out of Science Fiction,,59.970001,60.259998
2016-12,"Reintroduce Yourself to Microsoft’s Cortana | With LinkedIn, Microsoft Looks to Avoid Past Acquisition Busts | Park Geun-hye, Donald Trump, Microsoft: Your Friday Briefing | Daily Report: What Microsoft Needs From LinkedIn",,60.110001,62.139999
2017-01,"A New Destination for Files Downloaded From Microsoft Edge | Microsoft’s Profit Rises 4 Percent, as Cloud Business Booms",,62.790001,64.650002
2017-04,"Pamela Edstrom, Who Helped Shape Microsoft’s Public Image, Dies at 71 | Cloud Produces Sunny Earnings at Amazon, Microsoft and Alphabet",,65.809998,68.459999
2017-05,"Microsoft Looks to Regain Lost Ground in the Classroom | In Ransomware Attack, Where Does Microsoft’s Responsibility Lie?",,68.68,69.839996
2017-06,Screening Out Malware with Microsoft Edge,,70.239998,68.93
2017-07,"Microsoft to Cut Up to 4,000 Sales and Marketing Jobs | To Close Digital Divide, Microsoft to Harness Unused Television Channels | Microsoft Is Rewarded for Turning to the Cloud | Microsoft Paint’s Days May Be Numbered | How Microsoft Has Become the Surprise Innovator in PCs | The Surprising New PC Innovator? Microsoft",,69.330002,72.699997
2017-08,"Microsoft Shifts From Paying Outside Lawyers by the Hour | Microsoft Teaches Autonomous Gliders to Make Decisions on the Fly | Getting Microsoft Word to Call You by Your Real Name | ‘Cortana, Open Alexa,’ Amazon Says. And Microsoft Agrees.",,73.099998,74.769997
2017-09,"Serving the Community, Working for Microsoft | Microsoft C.E.O. Says Tech’s Progress on Gender Equality Is ‘Not Sufficient’ | The Tax Overhaul; Microsoft’s C.E.O. on Equality: DealBook Briefing",,74.709999,74.489998
2017-10,Microsoft’s Chief Wants You to Know He’s a Different Kind of Leader | U.S. to Limit Use of Secrecy Orders That Microsoft Challenged,,74.709999,83.18
2017-11,"Microsoft Office Mobile Apps: Free or With a Fee | Microsoft to Expand Campus, as Amazon Looks Elsewhere",,83.68,84.169998
2017-12,Microsoft Moves to End Secrecy in Sexual Harassment Claims,,83.599998,85.540001
2018-01,Microsoft Sales Lifted by Cloud Computing,,86.129997,95.010002
2018-02,Using Microsoft Apps on a Chromebook,,94.790001,93.769997
2018-03,Microsoft Reorganizes to Fuel Cloud and A.I. Businesses,,93.989998,91.269997
2018-04,Supreme Court Tosses Out Microsoft Case on Digital Data Abroad | Microsoft’s Cloud Has Business Booming Again,,90.470001,93.519997
2018-05,Microsoft Tries a New Role: Moral Leader | What the Microsoft Antitrust Case Taught Us,,93.209999,98.839996
2018-06,"Microsoft’s Potent Acquisition Currency: DealBook Briefing | Microsoft Buys GitHub for $7.5 Billion, Moving to Grow in Coding’s New Era | Microsoft Employees Protest Work With ICE, as Tech Industry Mobilizes Over Immigration",,99.279999,98.610001
2018-07,Microsoft Urges Congress to Regulate Use of Facial Recognition | Microsoft Emerges as Clear No. 2 in Cloud Computing | Microsoft Employees Question C.E.O. Over Company’s Contract With ICE,,98.099998,106.080002
2018-08,"New Russian Hacking Targeted Republican Groups, Microsoft Says | Microsoft, Primary Election, E.P.A.: Your Tuesday Briefing | Back Story on Microsoft's Vista",,106.029999,112.330002
2018-09,,"	
1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 43% to $38.1 billion.
2. Office Commercial revenue increased 13%, driven by Office 365 Commercial growth of 33%.
3. Office Consumer revenue increased 7%, and Office 365 Consumer subscribers increased to 34.8 million.
4. LinkedIn revenue increased 28%, with record levels of engagement highlighted by LinkedIn sessions growth of 27%.
5. Dynamics revenue increased 15%, driven by Dynamics 365 growth of 47%.
6. Server products and cloud services revenue, including GitHub, increased 25%, driven by Azure growth of 72%.
7. Enterprise Services revenue increased 5%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 4%.
9. Windows Commercial revenue increased 14%.
10. Microsoft Surface revenue increased 23%.
11. Gaming revenue increased 10%, driven by Xbox software and services growth of 19%.
12. Search advertising revenue, excluding traffic acquisition costs, increased 13%. | ANNUAL 	
1. Commercial cloud revenue, which includes Microsoft Office 365 commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 48% to $9.0 billion.
2. Office Commercial revenue increased 11%, driven by Office 365 commercial growth of 34%.
3. Office Consumer revenue increased 1%, with continued growth in Office 365 consumer subscribers to 33.3 million.
4. LinkedIn revenue increased 29%, with strong engagement highlighted by LinkedIn sessions growth of 30%.
5. Dynamics revenue increased 17%, driven by Dynamics 365 growth of 51%.  
6. Server products and cloud services revenue, including GitHub, increased 24%, driven by Azure growth of 76%.  
7. Enterprise Services revenue increased 6%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 5%.
9. Windows Commercial revenue increased 13%.
10. Microsoft Surface revenue increased 39%.
11. Gaming revenue increased 8%, with Xbox software and services growth of 31%.  
12. Search advertising revenue, excluding traffic acquisition costs, increased 14%.",110.849998,114.370003
2018-10,"Paul G. Allen, Microsoft’s Co-Founder, Is Dead at 65 | Microsoft’s Earnings Surge, as Cloud Bet Continues to Pay Off | Microsoft Says It Will Sell Pentagon Artificial Intelligence and Other Advanced Technology","	
1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 43% to $38.1 billion.
2. Office Commercial revenue increased 13%, driven by Office 365 Commercial growth of 33%.
3. Office Consumer revenue increased 7%, and Office 365 Consumer subscribers increased to 34.8 million.
4. LinkedIn revenue increased 28%, with record levels of engagement highlighted by LinkedIn sessions growth of 27%.
5. Dynamics revenue increased 15%, driven by Dynamics 365 growth of 47%.
6. Server products and cloud services revenue, including GitHub, increased 25%, driven by Azure growth of 72%.
7. Enterprise Services revenue increased 5%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 4%.
9. Windows Commercial revenue increased 14%.
10. Microsoft Surface revenue increased 23%.
11. Gaming revenue increased 10%, driven by Xbox software and services growth of 19%.
12. Search advertising revenue, excluding traffic acquisition costs, increased 13%. | ANNUAL 	
1. Commercial cloud revenue, which includes Microsoft Office 365 commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 48% to $9.0 billion.
2. Office Commercial revenue increased 11%, driven by Office 365 commercial growth of 34%.
3. Office Consumer revenue increased 1%, with continued growth in Office 365 consumer subscribers to 33.3 million.
4. LinkedIn revenue increased 29%, with strong engagement highlighted by LinkedIn sessions growth of 30%.
5. Dynamics revenue increased 17%, driven by Dynamics 365 growth of 51%.  
6. Server products and cloud services revenue, including GitHub, increased 24%, driven by Azure growth of 76%.  
7. Enterprise Services revenue increased 6%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 5%.
9. Windows Commercial revenue increased 13%.
10. Microsoft Surface revenue increased 39%.
11. Gaming revenue increased 8%, with Xbox software and services growth of 31%.  
12. Search advertising revenue, excluding traffic acquisition costs, increased 14%.",114.75,106.809998
2018-11,Microsoft Is Worth as Much as Apple. How Did That Happen?,"	
1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 43% to $38.1 billion.
2. Office Commercial revenue increased 13%, driven by Office 365 Commercial growth of 33%.
3. Office Consumer revenue increased 7%, and Office 365 Consumer subscribers increased to 34.8 million.
4. LinkedIn revenue increased 28%, with record levels of engagement highlighted by LinkedIn sessions growth of 27%.
5. Dynamics revenue increased 15%, driven by Dynamics 365 growth of 47%.
6. Server products and cloud services revenue, including GitHub, increased 25%, driven by Azure growth of 72%.
7. Enterprise Services revenue increased 5%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 4%.
9. Windows Commercial revenue increased 14%.
10. Microsoft Surface revenue increased 23%.
11. Gaming revenue increased 10%, driven by Xbox software and services growth of 19%.
12. Search advertising revenue, excluding traffic acquisition costs, increased 13%. | ANNUAL 	
1. Commercial cloud revenue, which includes Microsoft Office 365 commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 48% to $9.0 billion.
2. Office Commercial revenue increased 11%, driven by Office 365 commercial growth of 34%.
3. Office Consumer revenue increased 1%, with continued growth in Office 365 consumer subscribers to 33.3 million.
4. LinkedIn revenue increased 29%, with strong engagement highlighted by LinkedIn sessions growth of 30%.
5. Dynamics revenue increased 17%, driven by Dynamics 365 growth of 51%.  
6. Server products and cloud services revenue, including GitHub, increased 24%, driven by Azure growth of 76%.  
7. Enterprise Services revenue increased 6%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 5%.
9. Windows Commercial revenue increased 13%.
10. Microsoft Surface revenue increased 39%.
11. Gaming revenue increased 8%, with Xbox software and services growth of 31%.  
12. Search advertising revenue, excluding traffic acquisition costs, increased 14%.",107.050003,110.889999
2018-12,,"	
1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 43% to $38.1 billion.
2. Office Commercial revenue increased 13%, driven by Office 365 Commercial growth of 33%.
3. Office Consumer revenue increased 7%, and Office 365 Consumer subscribers increased to 34.8 million.
4. LinkedIn revenue increased 28%, with record levels of engagement highlighted by LinkedIn sessions growth of 27%.
5. Dynamics revenue increased 15%, driven by Dynamics 365 growth of 47%.
6. Server products and cloud services revenue, including GitHub, increased 25%, driven by Azure growth of 72%.
7. Enterprise Services revenue increased 5%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 4%.
9. Windows Commercial revenue increased 14%.
10. Microsoft Surface revenue increased 23%.
11. Gaming revenue increased 10%, driven by Xbox software and services growth of 19%.
12. Search advertising revenue, excluding traffic acquisition costs, increased 13%. | ANNUAL 1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 41% to $9.6 billion.
2. Office Commercial revenue increased 12%, driven by Office 365 Commercial growth of 30%.
3. Office Consumer revenue increased 8% and Office 365 Consumer subscribers increased to 34.2 million.
4. LinkedIn revenue increased 27%, with record levels of engagement highlighted by LinkedIn sessions growth of 24%.
5. Dynamics revenue increased 13%, driven by Dynamics 365 growth of 43%.  
6. Server products and cloud services revenue, including GitHub, increased 27%, driven by Azure growth of 73%.  
7. Enterprise Services revenue increased 4%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 9%.
9. Windows Commercial revenue increased 18%.
10. Microsoft Surface revenue increased 21%.
11. Gaming revenue increased 5%, driven by Xbox software and services growth of 12%. | ANNUAL 	
1. Commercial cloud revenue, which includes Microsoft Office 365 commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 48% to $9.0 billion.
2. Office Commercial revenue increased 11%, driven by Office 365 commercial growth of 34%.
3. Office Consumer revenue increased 1%, with continued growth in Office 365 consumer subscribers to 33.3 million.
4. LinkedIn revenue increased 29%, with strong engagement highlighted by LinkedIn sessions growth of 30%.
5. Dynamics revenue increased 17%, driven by Dynamics 365 growth of 51%.  
6. Server products and cloud services revenue, including GitHub, increased 24%, driven by Azure growth of 76%.  
7. Enterprise Services revenue increased 6%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 5%.
9. Windows Commercial revenue increased 13%.
10. Microsoft Surface revenue increased 39%.
11. Gaming revenue increased 8%, with Xbox software and services growth of 31%.  
12. Search advertising revenue, excluding traffic acquisition costs, increased 14%.",113.0,101.57
2019-01,"Microsoft Pledges $500 Million for Affordable Housing in Seattle Area | Microsoft’s Leap Into Housing Illuminates Government’s Retreat  | Microsoft Cannot Fix Seattle’s Housing Crisis | China Appears to Block Microsoft’s Bing as Censorship Intensifies | Microsoft’s Bing Back Online in China After Apparent Blockage | Releasing Earnings, Microsoft Stays in Stride, With Cloud Powering the Way","	
1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 43% to $38.1 billion.
2. Office Commercial revenue increased 13%, driven by Office 365 Commercial growth of 33%.
3. Office Consumer revenue increased 7%, and Office 365 Consumer subscribers increased to 34.8 million.
4. LinkedIn revenue increased 28%, with record levels of engagement highlighted by LinkedIn sessions growth of 27%.
5. Dynamics revenue increased 15%, driven by Dynamics 365 growth of 47%.
6. Server products and cloud services revenue, including GitHub, increased 25%, driven by Azure growth of 72%.
7. Enterprise Services revenue increased 5%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 4%.
9. Windows Commercial revenue increased 14%.
10. Microsoft Surface revenue increased 23%.
11. Gaming revenue increased 10%, driven by Xbox software and services growth of 19%.
12. Search advertising revenue, excluding traffic acquisition costs, increased 13%. | ANNUAL 1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 41% to $9.6 billion.
2. Office Commercial revenue increased 12%, driven by Office 365 Commercial growth of 30%.
3. Office Consumer revenue increased 8% and Office 365 Consumer subscribers increased to 34.2 million.
4. LinkedIn revenue increased 27%, with record levels of engagement highlighted by LinkedIn sessions growth of 24%.
5. Dynamics revenue increased 13%, driven by Dynamics 365 growth of 43%.  
6. Server products and cloud services revenue, including GitHub, increased 27%, driven by Azure growth of 73%.  
7. Enterprise Services revenue increased 4%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 9%.
9. Windows Commercial revenue increased 18%.
10. Microsoft Surface revenue increased 21%.
11. Gaming revenue increased 5%, driven by Xbox software and services growth of 12%. | ANNUAL 	
1. Commercial cloud revenue, which includes Microsoft Office 365 commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 48% to $9.0 billion.
2. Office Commercial revenue increased 11%, driven by Office 365 commercial growth of 34%.
3. Office Consumer revenue increased 1%, with continued growth in Office 365 consumer subscribers to 33.3 million.
4. LinkedIn revenue increased 29%, with strong engagement highlighted by LinkedIn sessions growth of 30%.
5. Dynamics revenue increased 17%, driven by Dynamics 365 growth of 51%.  
6. Server products and cloud services revenue, including GitHub, increased 24%, driven by Azure growth of 76%.  
7. Enterprise Services revenue increased 6%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 5%.
9. Windows Commercial revenue increased 13%.
10. Microsoft Surface revenue increased 39%.
11. Gaming revenue increased 8%, with Xbox software and services growth of 31%.  
12. Search advertising revenue, excluding traffic acquisition costs, increased 14%.",99.550003,104.43
2019-02,"Biggest Public Company? Microsoft. Wait, Apple Again. Amazon? No, Back to Microsoft. | Russian Hackers Targeted European Research Groups, Microsoft Says","1. Commercial cloud revenue, which includes Microsoft Office 365 Commercial, Microsoft Azure, the commercial portion of LinkedIn, Microsoft Dynamics 365, and other commercial cloud properties, increased 41% to $9.6 billion.
2. Office Commercial revenue increased 12%, driven by Office 365 Commercial growth of 30%.
3. Office Consumer revenue increased 8% and Office 365 Consumer subscribers increased to 34.2 million.
4. LinkedIn revenue increased 27%, with record levels of engagement highlighted by LinkedIn sessions growth of 24%.
5. Dynamics revenue increased 13%, driven by Dynamics 365 growth of 43%.  
6. Server products and cloud services revenue, including GitHub, increased 27%, driven by Azure growth of 73%.  
7. Enterprise Services revenue increased 4%.
8. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 9%.
9. Windows Commercial revenue increased 18%.
10. Microsoft Surface revenue increased 21%.
11. Gaming revenue increased 5%, driven by Xbox software and services growth of 12%.",103.779999,112.029999
